国家,背号,姓名,位置,身高(cm),出生年份,俱乐部
波兰,61,德罗兹,MB,191,2004,弗罗茨瓦夫
波兰,77,潘采维奇,L,167,1999,莫吉尔诺猎鹰
波兰,95,尤尔奇克,MB,183,1995,奥斯汀 LOVB
波兰,98,宾奇茨卡,S,173,2002,梅莱茨钢铁
塞尔维亚,4,梅德韦德,L,180,2002,麦迪逊 LOVB
塞尔维亚,16,耶格迪奇,L,167,1994,瓦基弗银行
塞尔维亚,1,伊万诺维奇,OH,183,2004,科拉贝尔卡
塞尔维亚,3,奥斯马伊奇,MB,192,2003,姬路
塞尔维亚,8,米尔科维奇,S,185,1995,库阿内什
塞尔维亚,5,M. 波波维奇,MB,187,1994,圣彼得堡列宁格勒卡
塞尔维亚,7,德利奇,MB,193,2000,阿尔巴布拉日
塞尔维亚,9,佩罗维奇,S,182,2001,图拉图利察
塞尔维亚,11,库尔塔吉奇,MB,195,2004,米兰
塞尔维亚,21,马莱舍维奇,MB,193,2002,佛罗伦萨
塞尔维亚,24,米洛耶维奇,MB,193,1999,勒卡内沃莱罗
塞尔维亚,13,祖比奇,OH,186,2004,旧帕佐瓦团结
塞尔维亚,41,奇库茨 - 迪恩斯 纳特,MB,182,2003,滕特
塞尔维亚,18,博什科维奇,O,193,1997,瓦基弗银行
塞尔维亚,14,阿莱克西奇,MB,188,1997,泽仁体育
塞尔维亚,33,陶布纳,O,188,2002,帕奥克
塞尔维亚,15,乌泽拉茨,OH,188,2004,泽仁体育
塞尔维亚,17,帕基奇,L,173,2004,铁路工人
塞尔维亚,25,查伊奇,OH,181,2001,尼吕费尔
塞尔维亚,26,基罗夫,MB,189,2005,弗拉门戈
塞尔维亚,27,布基利奇,O,191,1999,大田正官庄红色火花
塞尔维亚,31,茨维特科维奇,OH,186,2002,滕特
塞尔维亚,28,米列维奇,S,177,1998,阿尔巴布拉日
塞尔维亚,35,米亚托维奇,OH,190,2001,艾登都会
塞尔维亚,42,米哈伊洛维奇,OH,180,2006,乌布女排
塞尔维亚,30,安东诺维奇,OH,185,2009,贝尔格莱德红星
塞尔维亚,32,戈查宁,L,179,2002,滕特
塞尔维亚,10,奥格年诺维奇,S,183,1984,斯坎迪奇
塞尔维亚,34,蒂察,OH,179,2003,乌拉洛奇卡
塞尔维亚,29,亚克希奇,S,178,1998,巴切列夫莱尔
泰国,2,皮雅努,L,171,1989,春武里至尊
泰国,3,波蓬,S,173,1993,奥兰多女武神
泰国,4,干亚拉特,MB,185,2002,春武里至尊
泰国,5,塔达奥,MB,186,1994,PFU蓝猫
泰国,6,瓦丽萨拉,OH,173,2005,春武里至尊
泰国,7,帕帕查亚,O,176,2006,呵叻 3M 影视
泰国,8,瓦鲁妮,MB,183,2004,呵叻 3M 影视
泰国,9,卡利亚拉特,L,168,2005,呵叻 3M 影视
泰国,10,南纳帕,O,176,2004,斯巴顿大学
泰国,11,萨西帕蓬,OH,178,1997,呵叻 3M 影视
泰国,12,哈塔雅,MB,180,1993,久光制药
泰国,13,卡诺蓬,S,171,2005,斯巴顿大学
泰国,14,库蒂卡,OH,171,1994,
泰国,15,纳塔妮查,S,172,1998,春武里至尊
泰国,16,平皮查亚,O,180,1998,旺德夫尔南锡
泰国,17,朱丽蓬,MB,177,2001,春武里皇家理工大学
泰国,18,阿耶查拉蓬,OH,180,1995,山形
泰国,19,查楚昂,OH,182,1999,姬路
泰国,20,素帕瓦迪,O,185,2007,春武里至尊
泰国,21,缇普苏达,MB,183,2006,呵叻 3M 影视
泰国,22,妮拉叻,OH,177,2006,呵叻 3M 影视
泰国,23,纳塔丽卡,MB,181,2007,春武里至尊
泰国,24,萨西通,MB,180,2007,
泰国,26,甘蒂玛,OH,175,1999,春武里皇家理工大学
泰国,27,干差娜,OH,180,2006,春武里至尊
泰国,28,塞拉,S,180,2008,春武里皇家理工大学
泰国,29,维蒙拉,MB,180,2002,山形
泰国,30,吉达帕,L,172,2002,达尔汗巨头
泰国,33,纳塔妮查,S,178,2009,春武里至尊 U18
泰国,41,格瓦卡莱亚,MB,179,1994,四色菊电力
土耳其,1,奥格,L,172,1993,费内巴切
